,adres,longitude,latitude
94,"г. Челябинск, Копейское шоссе,  д. 23",61.492044,55.123739
95,"1. г. Миасс, ул. Ленина, д. 123 2. г. Магнитогорск, ул. Менжинского, 5 3. г. Златоуст, ул. 2-я Закаменская 5 4. г. Чебаркуль, ул. Энергетиков, 6",59.660747,55.182937
96,"г. Магнитогорск, ул. Моховая, д. 16",59.050216,53.472081
97,"Аргаяшский район,  с. Аргаяш, ул. Октябрьская, б\н",60.868083,55.496873
98,"г. Челябинск, ул. Монтажников, д. 3а",61.427608,55.2468
99,"г. Миасс, Тургоякское шоссе, д. 1",60.133611,55.114024
100,"1. г. Челябинск, ул. Машиностроителей, 21; 2. Объект исключен с 27.08.2020               г. Южноуральск, ул. Береговая, д. 2; 3. г. Верхний Уфалей ул. Промышленный проезд, д. 3а; 4. г. Миасс, севернее поселка Миасс-2; 5. г. Троицк, ул. Челябинская,  55; 6. г. Коркино, ул. Керамиков, 36д; 7. Объект исключен с 27.08.2020 г. Челябинск, ул. 1-я Потребительская, 1а; 8.  Объект исключен с 27.08.2020 Красноармейский р-он, п. Мирный, восточнее Битумного завода; 9. Объект исключен с 27.08.2020 г. Челябинск, по автодороге на аэропорт в Металлургическом районе.",1,1
101,"г. Магнитогорск, ул. Интернациональная, д. 1а, строение 2",59.082547,53.402621
102,"г. Аша, ул. Некрасова, д. 1в",57.261347,54.994032
103,"г. Челябинск, Троицкий тракт, д. 21е",61.382683,55.090918
104,"г. Челябинск, ул. Автоматики,  д. 9",61.426934,55.234923
105,"г. Челябинск, пр-т Ленина, 2а",61.477374,55.159552
106,"г. Челябинск, ул. Героев Танкограда, д. 17п",61.437336,55.226806
107,"г. Куса, ул. Мира, д. 3",59.393112,55.347909
108,"г. Миасс, пр. Автозаводцев, д. 1",60.105602,55.066396
110,"г. Челябинск, ул. Мастеровая, д. 8",61.363827,55.204048
111,"г. Карталы, ул. Почтовая,  д. 69 Б",60.632608,53.073601
112,"г. Аша, ул. Мира, д. 9",57.272351,54.993861
116,"1) г. Челябинск, Троицкий тракт, д. 11 2) г. Челябинск, ул. Короленко, д. 83",61.381722,55.106706
117,"г. Аша,  ул. Мира, д. 77а",57.259461,54.99682
118,"1) г. Челябинск, ул.  Енисейская, д. 8. 2) г. Троицк, ул. Степная, д. 3. 3) г. Южноуральск, ул. Советская, 2Д.",61.534256,54.077802
119,"г. Челябинск, ул. Машиностроителей, д. 21",61.471185,55.116495
120,"г. Челябинск, ул. 2-я Павелецкая, д. 14",61.413118,55.263845
121,"1) г. Челябинск, Копейское шоссе,  36-в; С 23.03.2021 дополнительный объект: 2) Челябинская область, г. Миасс, Тургоякское шоссе, 11/24 ",1,1
123,"г. Магнитогорск, ул. Заготовительная, д. 11, строение 6",59.094521,53.481057
124,"г. Златоуст, пос. 6-ой жилой участок, в районе завода КСМиИ",1,1
125,"г. Златоуст, ул. Лесная, д. 2",59.714404,55.181858
126,"г. Аша, ул. Узкоколейная, д. 1г",57.233068,55.00247
127,"г. Юрюзань, ул. Гончарова,  стр. 16а",58.413023,54.868311
128,"г. Аша, ул. Толстого, д. 23",57.277885,54.987668
129,"г. Коркино,  ул. Заводская, д. 1",61.392421,54.904204
130,"г. Троицк, пос. Гончарка",37.305569,55.484847
131,"1) с. Варна, ул. Ленина, д. 1, строение 6; 2) с 06.03.2019 г. новый объект:  г. Челябинск,  ул. Марченко, д. 26-б.",1,1
132,"1) г. Челябинск, ул. Автодорожная, 5 2) с 01.03.2016г. дополнительный объект: г. Челябинск, ул. Автодорожная, 1",61.373529,55.205111
133,"г. Челябинск, ул. Линейная, д. 92",61.494604,55.159048
134,"г. Златоуст, Парковый проезд, 1",59.704253,55.11148
135,"г. Челябинск, ул. Монтажников,  д. 3а",61.427608,55.2468
136,"г. Челябинск, Ленинский район, Сибирский переезд, д. б/н",61.432243,55.151852
137,"Сосновский район, пос. Новый Кременкуль, промзона",61.169845,55.189897
138,"г. Карталы, ул. Ленина, д. 41",60.638599,53.044008
139,"г. Челябинск, ул. Строительная,  д. 25",61.417834,55.248165
